id,titolo_originale,titolo,anno,genere,durata,paese,voto_medio,voto_critica,voto_pubblico,voti_totali,humor,ritmo,impegno,tensione
70581,Cavalo Dinheiro,Cavallo Denaro,2014,Sperimentale,115,Portogallo,6.8,7.2,6,12,0,0,0,0
70585,Durak,The Fool,2014,Drammatico,116,Russia,8.1,8.5,8,10,0,0,0,0
70587,Fidelio (L'odyssée d'Alice),Fidelio (L'odyssée d'Alice),2014,Drammatico,97,Francia,6.2,6.0,6,4,0,0,1,0
70593,L'abri,L'abri,2014,Documentario,101,Svizzera,7.0,7.0,7,3,0,0,0,0
70595,Mula sa kung ano ang noon,From What Is Before,2014,Drammatico,338,Filippine,6.9,7.5,6,17,0,0,0,0
70597,Nuits Blanches sur la Jetée,White Nights On The Pier,2014,Sperimentale,94,Francia,7.7,7.33,8,5,0,0,0,0
70601,Ventos de Agosto,Ventos de Agosto,2014,Drammatico,77,Brasile,5.5,6.0,5,8,0,0,0,0
70607,Aravim Rokdim,Dancing Arabs,2014,Drammatico,105,Israele,6.3,6.5,6,3,0,0,0,0
70609,Hin und weg,Tour de Force,2014,Drammatico,95,Germania,3.0,2.0,4,3,0,0,0,0
70619,Sul Vulcano,Sul Vulcano,2014,Documentario,90,Italia,5.0,5.5,5,8,0,1,3,0
70643,Navajazo,Navajazo,2013,Documentario,75,Messico,6.3,5.5,7,3,0,0,0,0
70669,Fort Buchanan,Fort Buchanan,2014,Sperimentale,60,"Francia, Tunisia",5.8,5.5,6,3,0,0,0,0
70683,Katie Fforde - An deiner Seite,Katie Fforde: Un patrimonio d'amore,2014,Drammatico,90,Germania,1.0,,1,3,0,0,0,0
70689,"14-18, le bruit et la fureur",14-18: amore e furore,2008,Documentario,148,"Francia, Belgio",7.3,,7,4,0,0,0,0
70697,Wrong Turn 6,Wrong Turn 6,2014,Horror,90,USA,4.3,4.5,4,11,0,0,0,0
70703,A Walk in the Woods,A spasso nel bosco,2015,Avventura,98,USA,6.1,6.5,6,79,1,1,1,0
70705,Desierto,Desierto,2015,Drammatico,94,USA,6.9,7.0,7,12,0,1,1,1
70709,Una gita a Roma,Una gita a Roma,2016,Commedia,110,Italia,7.8,8.0,8,7,2,2,3,2
70723,Transformations,Transformations,1988,Horror,84,USA,2.0,,2,3,0,0,0,0
70745,Pixels,Pixels,2015,Fantascienza,106,USA,5.4,5.45,5,123,3,3,1,0
70747,Annabelle,Annabelle,2014,Horror,98,USA,4.5,4.44,4,111,0,2,0,2
70749,Buoni a nulla,Buoni a nulla,2014,Commedia,87,Italia,5.7,5.77,6,65,3,2,1,1
70751,I ricordi del fiume,I ricordi del fiume,2015,Documentario,140,Italia,4.7,,5,3,0,0,0,0
70759,Dancing with Maria,Dancing with Maria,2014,Drammatico,72,"Italia, Argentina, Slovenia",6.4,7.0,6,9,0,1,2,0
70761,Dap Canh Giua Khong Trung,Agitarsi nel mezzo del nulla,2014,Drammatico,98,"Vietnam, Francia, Norvegia, Germania",7.0,7.0,7,3,0,0,0,0
70763,Nicije dete,Figlio di nessuno,2014,Drammatico,95,Serbia,6.8,6.67,7,6,0,2,2,1
70765,Villa Touma,Villa Touma,2014,Drammatico,85,Palestina,6.0,6.0,6,4,0,0,0,0
70767,Zerrumpelt Herz,The Council of Birds,2014,Drammatico,80,Germania,8.2,8.0,8,4,0,0,0,0
70769,Melbourne,Melbourne,2014,Drammatico,93,Iran,7.0,6.9,7,39,1,3,3,3
70771,Arance e martello,Arance e martello,2014,Commedia,105,Italia,5.2,4.83,6,40,0,0,0,0
70787,Lian lian feng chen,Dust in the Wind,1987,Drammatico,109,Cina,8.0,8.0,8,5,0,0,0,0
70805,The Remaining,The Remaining - Il giorno è giunto,2014,Horror,88,USA,4.9,5.0,5,11,0,0,0,0
70819,Patria,Patria,2014,Drammatico,89,Italia,5.3,6.22,4,19,1,2,3,1
70821,9x10 Novanta,9x10 Novanta,2014,Sperimentale,94,Italia,6.7,,7,3,0,0,0,0
70827,Asha jaoar majhe,Labour of Love,2014,Drammatico,84,India,7.5,8.5,7,4,0,0,0,0
70833,Time Out of Mind,Gli invisibili,2014,Drammatico,117,USA,5.5,5.83,5,64,0,1,2,1
70843,Cake,Cake,2014,Drammatico,92,USA,5.3,5.0,6,52,1,1,3,1
